,group_id,member_id,spectrometer,years,dys,month_name
94,NAX,QIN,B4,2017,0.06458333333333334,July
95,KJR,JIY,D7,2020,0.07013888888888889,May
96,KJR,CWA,D7,2020,0.0034722222222222225,June
97,GNT,RBQ,A4,2019,0.06458333333333334,January
98,XSO,ZEJ,A4,2017,0.0034722222222222225,January
99,LPA,WSU,C5,2017,0.0034722222222222225,October
100,VGY,COM,C5,2017,0.02986111111111112,September
101,AVW,EPL,B4,2017,0.034722222222222224,October
102,UVC,FWF,C5,2018,0.034722222222222224,May
103,WUB,CER,C5,2019,0.02986111111111112,August
104,KDC,YVJ,N4,2019,0.07013888888888889,April
105,UWT,ZKC,N4,2017,0.06458333333333334,November
106,UWT,QJJ,D7,2018,0.0034722222222222225,January
107,LPA,RZE,P6,2020,0.07013888888888889,February
108,HAE,KFK,C5,2018,0.010416666666666666,January
109,KDC,YVJ,D7,2017,0.034722222222222224,February
110,LPA,TCK,P6,2018,0.010416666666666666,July
111,PMQ,HWC,B4,2018,0.07013888888888889,May
112,GQF,QPF,A4,2017,0.010416666666666666,November
113,AVW,UZA,C5,2020,0.06458333333333334,April
114,XSO,ZEJ,C5,2020,0.06458333333333334,February
115,AVW,CAH,A4,2018,0.052083333333333336,May
116,PMQ,OUX,N4,2018,0.06458333333333334,May
117,EJO,CYT,P6,2017,0.034722222222222224,July
118,UVC,ZQC,C5,2020,0.0034722222222222225,October
119,BZR,TNA,D7,2019,0.06458333333333334,July
120,OLP,YPT,A4,2018,0.034722222222222224,August
121,GNT,IEZ,C5,2017,0.02986111111111112,June
122,WTV,PBM,B4,2020,0.06458333333333334,August
123,KDC,INS,A4,2020,0.07013888888888889,March
124,AVW,CAH,N4,2017,0.034722222222222224,August
125,YGH,WPH,P6,2020,0.052083333333333336,January
126,OLP,GIB,P6,2018,0.052083333333333336,March
127,GQF,HCJ,C5,2020,0.010416666666666666,June
128,VGY,USL,C5,2020,0.02986111111111112,July
129,KJR,CWA,C5,2019,0.07013888888888889,June
130,GQF,QPF,P6,2020,0.07013888888888889,February
131,XSO,AYH,B4,2020,0.0034722222222222225,February
132,HAE,JPQ,B4,2020,0.0034722222222222225,June
133,KJR,UTQ,A4,2020,0.02986111111111112,October
134,PCG,LSM,P6,2020,0.0034722222222222225,February
135,GMD,HWX,B4,2018,0.07013888888888889,January
136,XSO,SWX,N4,2018,0.0034722222222222225,September
137,KJR,XZZ,D7,2017,0.07013888888888889,January
138,UWT,XHC,A4,2019,0.07013888888888889,October
139,HAE,TMH,A4,2018,0.02986111111111112,June
140,GQF,HCJ,N4,2018,0.07013888888888889,October
141,PMQ,PTJ,P6,2017,0.010416666666666666,September
142,GNT,IEZ,C5,2020,0.07013888888888889,July
143,KDC,UAC,B4,2018,0.02986111111111112,May
144,OLP,DAD,N4,2018,0.07013888888888889,July
145,KJR,XZZ,P6,2017,0.02986111111111112,December
146,OLP,LIJ,D7,2020,0.02986111111111112,January
147,WUB,MDZ,P6,2020,0.06458333333333334,June
148,BZR,IKA,B4,2017,0.034722222222222224,February
149,LPA,RZE,B4,2017,0.06458333333333334,September
150,NAX,XGT,N4,2017,0.07013888888888889,March
151,KDC,INS,D7,2018,0.010416666666666666,March
152,BZR,BZO,C5,2017,0.010416666666666666,December
153,GMD,HWX,B4,2020,0.07013888888888889,March
154,GQF,HCJ,A4,2018,0.010416666666666666,July
155,VGY,DBZ,N4,2017,0.034722222222222224,March
156,GMD,SOQ,A4,2020,0.06458333333333334,November
157,GNT,AEO,N4,2020,0.02986111111111112,September
158,BZR,WRH,D7,2017,0.06458333333333334,February
159,LPA,TCK,A4,2019,0.052083333333333336,July
160,BZR,BZO,D7,2017,0.034722222222222224,November
161,OLP,GIB,C5,2019,0.034722222222222224,May
162,GQF,ZOJ,C5,2017,0.0034722222222222225,September
163,LPU,NAB,N4,2020,0.07013888888888889,December
164,UWT,QJJ,A4,2020,0.010416666666666666,June
165,KDC,YVJ,A4,2018,0.010416666666666666,August
166,KJR,HZX,P6,2017,0.0034722222222222225,July
167,LPU,JCT,P6,2018,0.07013888888888889,August
168,LPU,IPX,D7,2019,0.052083333333333336,June
169,PCG,LSM,C5,2019,0.02986111111111112,January
170,VGY,DBZ,N4,2019,0.07013888888888889,October
171,KJR,CWA,C5,2019,0.06458333333333334,April
172,EJO,OCF,A4,2018,0.010416666666666666,July
173,XSO,RRV,C5,2018,0.010416666666666666,November
174,LPU,FLO,B4,2018,0.034722222222222224,April
175,GQF,QPF,C5,2020,0.0034722222222222225,June
176,GNT,KFZ,C5,2019,0.010416666666666666,October
177,WUB,UPN,C5,2018,0.010416666666666666,January
178,XSO,RRV,C5,2020,0.02986111111111112,April
179,KJR,UTQ,N4,2017,0.034722222222222224,March
180,PCG,KJC,N4,2017,0.06458333333333334,May
181,XSO,ZEJ,N4,2017,0.0034722222222222225,November
182,OLP,YPT,C5,2020,0.0034722222222222225,May
183,WUB,KSQ,C5,2019,0.034722222222222224,December
184,WUB,MDZ,A4,2017,0.02986111111111112,May
185,UWT,QJJ,P6,2020,0.0034722222222222225,June
186,GNT,CBW,B4,2019,0.0034722222222222225,January
187,GNT,RBQ,D7,2018,0.0034722222222222225,December
188,UVC,ZQC,N4,2019,0.052083333333333336,September
189,LPA,EFZ,C5,2020,0.07013888888888889,December
190,WTV,ROP,B4,2019,0.02986111111111112,February
191,LPU,IPX,A4,2018,0.07013888888888889,February
192,VGY,DBZ,C5,2019,0.06458333333333334,June
193,PMQ,PTJ,B4,2019,0.052083333333333336,May
194,GMD,CIS,P6,2020,0.07013888888888889,December
195,HAE,JOU,D7,2019,0.0034722222222222225,December
196,WTV,ROP,B4,2019,0.010416666666666666,March
197,KJR,UTQ,D7,2020,0.034722222222222224,September
198,NAX,MPB,A4,2020,0.07013888888888889,February
199,GQF,RAM,D7,2017,0.052083333333333336,October
200,PMQ,OUX,C5,2017,0.0034722222222222225,June
201,YGH,UNM,P6,2019,0.06458333333333334,July
202,NAX,ULS,B4,2020,0.07013888888888889,March
203,GNT,CBW,P6,2018,0.010416666666666666,January
204,UVC,VOE,A4,2018,0.02986111111111112,September
205,WUB,CER,A4,2017,0.0034722222222222225,October
206,KJR,JIY,N4,2020,0.02986111111111112,July
207,NAX,ULS,A4,2018,0.02986111111111112,April
208,GNT,KFZ,B4,2019,0.02986111111111112,March
209,XSO,ZEJ,B4,2020,0.06458333333333334,October
210,LPU,FLO,A4,2020,0.010416666666666666,June
211,NAX,ULS,D7,2019,0.0034722222222222225,July
212,GQF,HCJ,B4,2020,0.02986111111111112,December
213,KJR,JIY,D7,2017,0.07013888888888889,June
214,LPA,EFZ,D7,2019,0.010416666666666666,March
215,VGY,III,N4,2017,0.034722222222222224,August
216,VGY,USL,P6,2020,0.02986111111111112,September
217,LPU,JCT,C5,2020,0.0034722222222222225,September
218,AVW,NMJ,N4,2018,0.034722222222222224,August
219,GNT,CBW,N4,2018,0.0034722222222222225,January
220,PMQ,OUX,D7,2020,0.02986111111111112,February
221,WTV,ROP,A4,2020,0.010416666666666666,April
222,WUB,UPN,B4,2018,0.034722222222222224,August
223,VGY,VSZ,C5,2020,0.06458333333333334,November
224,WUB,GJR,D7,2018,0.052083333333333336,September
225,WUB,KSQ,P6,2019,0.07013888888888889,February
226,KDC,UAC,C5,2018,0.034722222222222224,June
227,LPU,NAB,A4,2020,0.06458333333333334,September
228,YGH,UNM,P6,2019,0.0034722222222222225,December
229,AVW,EPL,P6,2019,0.034722222222222224,March
230,KDC,YRX,P6,2019,0.052083333333333336,November
231,KDC,UAC,P6,2019,0.052083333333333336,April
232,GQF,RAM,B4,2019,0.02986111111111112,May
233,UVC,FWF,C5,2018,0.052083333333333336,May
234,NAX,XGT,B4,2018,0.010416666666666666,December
235,GQF,QPF,C5,2020,0.06458333333333334,May
236,UVC,VOE,D7,2018,0.07013888888888889,February
237,NAX,PNX,P6,2018,0.052083333333333336,April
238,VGY,COM,C5,2018,0.0034722222222222225,December
239,EJO,QED,N4,2020,0.034722222222222224,May
240,YGH,OOV,B4,2020,0.0034722222222222225,August
241,KDC,UAC,P6,2020,0.0034722222222222225,September
242,OLP,VXR,P6,2019,0.034722222222222224,September
243,LPA,OTP,C5,2019,0.010416666666666666,April
244,UWT,XHC,C5,2018,0.052083333333333336,January
245,GNT,KFZ,C5,2018,0.052083333333333336,October
246,WUB,KSQ,D7,2019,0.06458333333333334,June
247,GQF,QPF,N4,2017,0.052083333333333336,September
248,AVW,EPL,C5,2020,0.02986111111111112,September
249,PCG,HCQ,A4,2017,0.07013888888888889,May
250,WTV,ISC,B4,2020,0.0034722222222222225,July
251,XSO,FOK,A4,2017,0.06458333333333334,December
252,LPA,TCK,P6,2018,0.052083333333333336,January
253,WTV,ISC,P6,2017,0.034722222222222224,December
254,PCG,PKK,A4,2019,0.02986111111111112,November
255,WUB,GJR,N4,2019,0.02986111111111112,February
256,WTV,BTT,P6,2019,0.06458333333333334,September
257,BZR,BZO,D7,2020,0.052083333333333336,January
258,NAX,PNX,C5,2020,0.06458333333333334,March
259,GMD,SOQ,P6,2018,0.0034722222222222225,February
260,NAX,PNX,D7,2018,0.02986111111111112,March
261,WUB,KSQ,D7,2020,0.02986111111111112,September
262,UWT,LKP,B4,2018,0.052083333333333336,January
263,WUB,KSQ,A4,2019,0.052083333333333336,March
264,GMD,DKW,N4,2018,0.010416666666666666,November
265,UWT,LKP,A4,2019,0.07013888888888889,October
266,UWT,QJJ,D7,2017,0.0034722222222222225,September
267,VGY,III,B4,2017,0.052083333333333336,November
268,EJO,CYT,P6,2020,0.07013888888888889,July
269,GQF,ZOJ,P6,2019,0.052083333333333336,September
270,AVW,ISA,D7,2019,0.034722222222222224,March
271,PCG,PKK,P6,2019,0.0034722222222222225,April
272,GMD,SOQ,A4,2019,0.010416666666666666,August
273,VGY,III,N4,2019,0.0034722222222222225,May
274,PCG,HCQ,C5,2018,0.06458333333333334,July
275,WTV,ISC,A4,2019,0.034722222222222224,September
276,HAE,FUK,N4,2020,0.06458333333333334,April
277,WTV,ROP,P6,2018,0.02986111111111112,February
278,YGH,OOV,C5,2018,0.034722222222222224,March
279,WTV,PBM,B4,2019,0.07013888888888889,October
280,AVW,EPL,C5,2018,0.02986111111111112,July
281,PMQ,HWC,A4,2018,0.052083333333333336,June
282,OLP,LIJ,B4,2017,0.06458333333333334,August
283,EJO,QED,P6,2017,0.06458333333333334,March
284,WUB,UPN,D7,2017,0.06458333333333334,December
285,PCG,LSM,B4,2018,0.06458333333333334,January
286,WUB,GJR,C5,2020,0.052083333333333336,March
287,LPU,VDP,D7,2020,0.034722222222222224,December
288,YGH,WPH,D7,2020,0.02986111111111112,November
289,PMQ,LGE,D7,2020,0.06458333333333334,August
290,LPA,OTP,B4,2018,0.034722222222222224,February
291,AVW,UZA,B4,2019,0.0034722222222222225,September
292,XSO,FOK,P6,2020,0.02986111111111112,September
293,UWT,LKP,N4,2017,0.010416666666666666,September
294,WTV,ISC,C5,2019,0.052083333333333336,October
295,LPU,JCT,C5,2017,0.0034722222222222225,July
296,OLP,VXR,C5,2017,0.06458333333333334,September
297,PCG,HCQ,B4,2017,0.010416666666666666,March
298,PMQ,LGE,D7,2017,0.0034722222222222225,June
299,KJR,HZX,D7,2019,0.052083333333333336,May
300,AVW,CAH,D7,2018,0.010416666666666666,July
301,WTV,ISC,N4,2018,0.034722222222222224,February
302,WTV,XFS,N4,2018,0.02986111111111112,May
303,PCG,KJC,A4,2017,0.052083333333333336,February
304,HAE,KFK,P6,2020,0.07013888888888889,June
305,GMD,HWX,N4,2017,0.06458333333333334,August
306,PMQ,OUX,D7,2020,0.0034722222222222225,December
307,KDC,YVJ,B4,2018,0.02986111111111112,December
308,GMD,SOQ,N4,2017,0.034722222222222224,February
309,PMQ,OUX,A4,2020,0.034722222222222224,August
310,PMQ,LGE,A4,2018,0.02986111111111112,August
311,WUB,GJR,D7,2019,0.052083333333333336,July
312,GQF,ZOJ,N4,2020,0.052083333333333336,October
313,YGH,SPM,N4,2019,0.02986111111111112,August
314,KDC,YVJ,N4,2018,0.034722222222222224,November
315,AVW,NMJ,B4,2017,0.034722222222222224,May
316,UVC,SXJ,P6,2020,0.010416666666666666,January
317,WUB,KSQ,C5,2019,0.034722222222222224,August
318,GQF,ZOJ,N4,2018,0.06458333333333334,August
319,EJO,CYT,P6,2019,0.010416666666666666,January
320,WTV,XFS,A4,2019,0.0034722222222222225,January
321,PCG,HCQ,C5,2018,0.052083333333333336,April
322,KJR,UTQ,C5,2020,0.0034722222222222225,September
323,WUB,GJR,P6,2019,0.052083333333333336,September
324,KDC,INS,A4,2020,0.06458333333333334,December
325,NAX,QIN,B4,2018,0.02986111111111112,February
326,AVW,UZA,C5,2019,0.06458333333333334,January
327,NAX,ULS,P6,2018,0.06458333333333334,October
328,BZR,BZO,N4,2019,0.02986111111111112,June
329,AVW,NMJ,P6,2019,0.02986111111111112,February
330,HAE,KFK,N4,2018,0.06458333333333334,November
331,KDC,INS,B4,2019,0.07013888888888889,May
332,WTV,XFS,N4,2020,0.02986111111111112,December
333,AVW,UZA,P6,2019,0.0034722222222222225,March
334,BZR,IKA,C5,2018,0.010416666666666666,December
335,HAE,TMH,A4,2017,0.02986111111111112,April
336,XSO,AYH,A4,2020,0.052083333333333336,June
337,LPU,IPX,D7,2018,0.052083333333333336,June
338,BZR,TNA,N4,2018,0.02986111111111112,September
339,GNT,AEO,B4,2017,0.07013888888888889,July
340,YGH,BTT,C5,2019,0.034722222222222224,December
341,PCG,HCQ,B4,2020,0.0034722222222222225,April
342,VGY,COM,P6,2019,0.02986111111111112,December
343,PMQ,OUX,P6,2020,0.02986111111111112,December
344,AVW,UZA,D7,2019,0.07013888888888889,May
345,LPU,NAB,C5,2018,0.010416666666666666,July
346,GQF,HCJ,C5,2019,0.052083333333333336,June
347,UVC,ZQC,D7,2018,0.052083333333333336,July
348,KDC,YRX,D7,2020,0.034722222222222224,August
349,UVC,ZQC,B4,2020,0.0034722222222222225,January
350,UVC,VOE,N4,2020,0.010416666666666666,May
351,GNT,KFZ,B4,2018,0.07013888888888889,October
352,LPA,RZE,P6,2018,0.02986111111111112,May
353,KJR,CWA,N4,2018,0.07013888888888889,June
354,GNT,CBW,B4,2019,0.052083333333333336,December
355,GQF,ZOJ,N4,2017,0.06458333333333334,March
356,PMQ,LGE,A4,2018,0.07013888888888889,November
357,AVW,EPL,P6,2020,0.034722222222222224,February
358,KJR,XZZ,B4,2019,0.0034722222222222225,February
359,WUB,KSQ,B4,2019,0.02986111111111112,March
360,KDC,UAC,D7,2019,0.052083333333333336,April
361,UWT,XHC,N4,2020,0.034722222222222224,April
362,BZR,YIR,P6,2020,0.034722222222222224,March
363,UWT,QJJ,D7,2020,0.07013888888888889,April
364,VGY,COM,D7,2019,0.0034722222222222225,December
365,BZR,TNA,B4,2019,0.052083333333333336,November
366,GMD,SOQ,N4,2019,0.010416666666666666,December
367,PCG,HCQ,A4,2020,0.034722222222222224,February
368,GMD,SOQ,P6,2017,0.010416666666666666,October
369,GQF,QPF,B4,2020,0.010416666666666666,September
370,PMQ,MTO,N4,2018,0.0034722222222222225,August
371,PCG,HCQ,D7,2018,0.034722222222222224,September
372,KJR,CWA,N4,2019,0.034722222222222224,April
373,OLP,DAD,N4,2020,0.07013888888888889,November
374,YGH,OOV,P6,2020,0.06458333333333334,April
375,NAX,ULS,N4,2018,0.07013888888888889,May
376,GNT,CBW,B4,2018,0.010416666666666666,August
377,LPU,IPX,A4,2019,0.010416666666666666,February
378,GNT,KFZ,N4,2019,0.0034722222222222225,April
379,WTV,ROP,D7,2017,0.06458333333333334,October
380,YGH,UNM,C5,2019,0.010416666666666666,June
381,GNT,AEO,B4,2017,0.06458333333333334,October
382,GMD,HWX,C5,2017,0.06458333333333334,January
383,UVC,SXJ,D7,2019,0.0034722222222222225,July
384,UWT,JIG,B4,2018,0.0034722222222222225,November
385,PMQ,LGE,C5,2019,0.052083333333333336,January
386,GQF,ZOJ,D7,2018,0.07013888888888889,June
387,EJO,MQX,P6,2020,0.02986111111111112,January
388,GQF,HCJ,B4,2018,0.02986111111111112,August
389,GMD,CIS,C5,2020,0.02986111111111112,August
390,KDC,UAC,B4,2020,0.052083333333333336,July
391,GNT,CBW,A4,2019,0.010416666666666666,December
392,WUB,CER,P6,2017,0.010416666666666666,June
393,HAE,JPQ,D7,2018,0.02986111111111112,August
394,AVW,CAH,D7,2018,0.052083333333333336,September
395,GNT,CBW,D7,2018,0.0034722222222222225,September
396,GMD,SOQ,P6,2018,0.06458333333333334,April
397,BZR,YIR,A4,2018,0.034722222222222224,January
398,PCG,HCQ,C5,2018,0.052083333333333336,December
399,EJO,ZSP,D7,2020,0.0034722222222222225,March
400,GMD,CIS,C5,2020,0.0034722222222222225,December
401,BZR,TNA,C5,2020,0.010416666666666666,November
402,KDC,YRX,P6,2018,0.052083333333333336,June
403,YGH,OOV,A4,2020,0.07013888888888889,April
404,WUB,GJR,C5,2020,0.034722222222222224,May
405,PCG,DAA,P6,2020,0.06458333333333334,November
406,PMQ,MTO,A4,2020,0.0034722222222222225,March
407,LPA,EFZ,C5,2020,0.010416666666666666,May
408,LPA,EFZ,P6,2018,0.07013888888888889,August
409,OLP,YPT,P6,2019,0.07013888888888889,October
410,PMQ,HWC,C5,2017,0.0034722222222222225,June
411,LPA,EFZ,N4,2017,0.06458333333333334,December
412,HAE,KFK,A4,2019,0.0034722222222222225,May
413,HAE,JOU,N4,2020,0.010416666666666666,August
414,PMQ,HWC,D7,2018,0.06458333333333334,December
415,GNT,AEO,N4,2018,0.02986111111111112,September
416,WTV,ROP,N4,2017,0.034722222222222224,September
417,OLP,GIB,C5,2017,0.06458333333333334,September
418,GQF,ZOJ,P6,2019,0.010416666666666666,September
419,KJR,CWA,N4,2019,0.0034722222222222225,June
420,VGY,VSZ,A4,2020,0.07013888888888889,June
421,XSO,SWX,D7,2017,0.07013888888888889,September
422,PMQ,OUX,N4,2017,0.010416666666666666,October
423,GQF,ZOJ,D7,2020,0.02986111111111112,June
424,OLP,LIJ,A4,2017,0.06458333333333334,February
425,UVC,SXJ,N4,2017,0.052083333333333336,November
426,LPA,RZE,A4,2019,0.034722222222222224,April
427,AVW,CAH,D7,2017,0.02986111111111112,April
428,VGY,III,N4,2019,0.034722222222222224,January
429,PMQ,HWC,C5,2019,0.07013888888888889,July
430,AVW,CAH,N4,2019,0.02986111111111112,September
431,GMD,CIS,B4,2018,0.052083333333333336,February
432,XSO,ZEJ,B4,2018,0.010416666666666666,October
433,BZR,TNA,D7,2020,0.010416666666666666,August
434,VGY,DBZ,B4,2018,0.052083333333333336,March
435,KJR,JIY,N4,2017,0.010416666666666666,April
436,PMQ,LGE,P6,2019,0.010416666666666666,July
437,BZR,IKA,N4,2018,0.06458333333333334,July
438,XSO,RRV,P6,2018,0.0034722222222222225,October
439,GNT,IEZ,C5,2018,0.010416666666666666,August
440,KJR,UTQ,N4,2019,0.06458333333333334,November
441,WUB,UPN,C5,2018,0.02986111111111112,August
442,BZR,YIR,D7,2020,0.02986111111111112,October
443,VGY,COM,B4,2019,0.0034722222222222225,March
444,GMD,SOQ,D7,2020,0.02986111111111112,September
445,LPU,JCT,A4,2018,0.052083333333333336,August
446,LPA,WSU,A4,2020,0.010416666666666666,December
447,PMQ,MTO,N4,2018,0.0034722222222222225,March
448,YGH,UNM,C5,2020,0.052083333333333336,January
449,PCG,HCQ,C5,2019,0.034722222222222224,February
450,EJO,CYT,A4,2020,0.010416666666666666,June
451,GMD,HWX,B4,2020,0.0034722222222222225,July
452,KJR,HZX,C5,2020,0.034722222222222224,January
453,XSO,FOK,A4,2017,0.034722222222222224,August
454,VGY,VSZ,P6,2019,0.02986111111111112,December
455,GMD,PHU,A4,2020,0.02986111111111112,September
456,KJR,JIY,C5,2019,0.034722222222222224,March
457,WUB,KSQ,B4,2018,0.0034722222222222225,June
458,OLP,GIB,N4,2019,0.010416666666666666,June
459,EJO,CYT,C5,2017,0.06458333333333334,March
460,BZR,IKA,C5,2018,0.034722222222222224,June
461,KJR,CWA,D7,2020,0.052083333333333336,June
462,KJR,HZX,C5,2020,0.02986111111111112,April
463,AVW,ISA,B4,2019,0.010416666666666666,April
464,KDC,PUQ,N4,2020,0.02986111111111112,February
465,UWT,XHC,N4,2019,0.06458333333333334,June
466,EJO,CYT,B4,2018,0.0034722222222222225,December
467,WTV,PBM,P6,2018,0.0034722222222222225,February
468,GQF,RAM,B4,2020,0.02986111111111112,August
469,KJR,HZX,B4,2019,0.02986111111111112,April
470,GMD,CIS,P6,2019,0.0034722222222222225,August
471,LPU,NAB,N4,2020,0.02986111111111112,January
472,OLP,DAD,A4,2017,0.06458333333333334,October
473,GQF,ZOJ,A4,2020,0.0034722222222222225,May
474,UWT,JIG,D7,2019,0.052083333333333336,June
475,VGY,COM,C5,2019,0.0034722222222222225,April
476,GMD,PHU,N4,2018,0.052083333333333336,May
477,BZR,BZO,B4,2017,0.0034722222222222225,March
478,NAX,QIN,A4,2019,0.052083333333333336,January
479,YGH,OOV,A4,2019,0.0034722222222222225,June
480,VGY,VSZ,B4,2020,0.06458333333333334,February
481,HAE,TMH,B4,2018,0.0034722222222222225,April
482,KJR,HZX,C5,2019,0.06458333333333334,November
483,HAE,JOU,D7,2018,0.010416666666666666,December
484,PMQ,LGE,P6,2018,0.034722222222222224,July
485,XSO,FOK,N4,2018,0.02986111111111112,February
486,NAX,QIN,A4,2019,0.07013888888888889,April
487,WUB,MDZ,P6,2019,0.02986111111111112,April
488,NAX,ULS,N4,2019,0.0034722222222222225,May
489,PCG,DAA,D7,2020,0.010416666666666666,October
490,GQF,QPF,P6,2019,0.0034722222222222225,December
491,LPA,TCK,A4,2020,0.052083333333333336,April
492,GMD,HWX,N4,2020,0.0034722222222222225,November
493,UWT,LKP,D7,2018,0.02986111111111112,January
494,WUB,GJR,P6,2018,0.052083333333333336,November
495,UWT,LKP,B4,2019,0.034722222222222224,February
496,BZR,TNA,A4,2018,0.034722222222222224,December
497,OLP,VXR,D7,2019,0.02986111111111112,April
498,UVC,VOE,N4,2020,0.0034722222222222225,January
499,WUB,UPN,P6,2018,0.052083333333333336,November
500,GQF,RAM,N4,2019,0.06458333333333334,July
501,NAX,MPB,B4,2020,0.052083333333333336,February
502,GMD,SOQ,D7,2019,0.06458333333333334,September
503,GQF,IHZ,D7,2018,0.034722222222222224,February
504,PMQ,PTJ,P6,2020,0.034722222222222224,May
505,KJR,XZZ,C5,2017,0.034722222222222224,October
506,PMQ,HWC,A4,2019,0.07013888888888889,November
